id,name,description
12337973,Accord,
12338901,Analytics Library,Cassandra Bulk Analytics Library
12331907,Build,
12337007,CI,
12339813,Client/cpp-driver,
12339418,Client/gocql-driver,https://github.com/apache/cassandra-gocql-driver
12339026,Client/java-driver,https://github.com/apache/cassandra-java-driver
12334921,Cluster/Gossip,
12334920,Cluster/Membership,
12334922,Cluster/Schema,
12334919,Consistency/Batch Log,
12334918,Consistency/Bootstrap and Decommission,
12334915,Consistency/Coordination,
12333563,Consistency/Hints,
12333242,Consistency/Repair,
12334917,Consistency/Streaming,
12334939,CQL/Interpreter,
12334969,CQL/Semantics,
12334938,CQL/Syntax,
12332429,Dependencies,
12338121,Documentation,
12334955,Documentation/Blog,
12334953,Documentation/Javadoc,
12336117,Documentation/NEWS.txt,
12334954,Documentation/Website,
12332923,Feature/2i Index,
12332913,Feature/Authorization,
12334959,Feature/Change Data Capture,
12334112,Feature/Compression,
12339617,Feature/Constraints,
12334958,Feature/Counters,
12338556,Feature/Dynamic Data Masking,
12334963,Feature/Encryption,
12338008,Feature/Guardrails,
12334964,Feature/KMS Vault,
12334957,Feature/Lightweight Transactions,
12332464,Feature/Materialized Views,
12338529,Feature/Rate Limiting,
12339811,Feature/Repair,
12338621,Feature/SAI,
12328927,Feature/SASI,
12339812,Feature/Streaming,
12334965,Feature/Super Columns,
12334960,Feature/Transient Replication,
12334968,Feature/UDA,
12334966,Feature/UDF,
12334967,Feature/UDT,
12338937,Feature/Vector Search,
12334961,Feature/Virtual Nodes,
12334962,Feature/Virtual Tables,
12338625,Jamm,
12328219,Legacy/Coordination,"StorageProxy, Hints, Batchlog, Counters, LWT, Partitioner/Tokens"
12328758,Legacy/Core,"StorageEngine, Types, Serializers"
12328220,Legacy/CQL,"Grammar, Statements, Native Protocol, UDFs/UDAs, JSON"
12328216,Legacy/Distributed Metadata,"Gossip, Schema, Auth"
12312980,Legacy/Documentation and Website,
12328221,Legacy/Local Write-Read Paths,"Memtables, Commitlog, SSTables, CDC, Key and Row Caches, Low-Level Disk I/O"
12328222,Legacy/Observability,"JMX, Metrics, Tracing, Logging"
12328217,Legacy/Streaming and Messaging,"MessagingService, Bootstrap, Repair, Bulk Loading"
12314245,Legacy/Testing,"CCM, dtest"
12312979,Legacy/Tools,"stress, nodetool, cqlsh, various (sstableloader, sstablescrub, sstablerepairedset, etc)"
12334926,Local/Caching,
12334923,Local/Commit Log,
12328218,Local/Compaction,
12334927,Local/Compaction/DTCS,
12334929,Local/Compaction/LCS,
12334930,Local/Compaction/STCS,
12334928,Local/Compaction/TWCS,
12339106,Local/Compaction/UCS,
12320019,Local/Config,Configuration and environment
12334924,Local/Memtable,
12335501,Local/Other,
12334933,Local/Scripts,
12337951,Local/Snapshots,
12334925,Local/SSTable,
12328322,Local/Startup and Shutdown,Startup and Shutdown
12334936,Messaging/Client,
12334934,Messaging/Internode,
12334937,Messaging/Thrift,
12334940,Observability/JMX,
12334943,Observability/Logging,
12333004,Observability/Metrics,
12334942,Observability/Tracing,
12313619,Packaging,
12335016,Sidecar,
12334952,Test/benchmark,
12337629,Test/burn,
12337340,Test/dtest/java,
12334949,Test/dtest/python,
12334951,Test/fuzz,
12334950,Test/unit,
12337622,Tool/auditlogging,
12334948,Tool/bulk load,
12339700,Tool/CCM,
12334945,Tool/cqlsh,
12336172,Tool/diff,
12337350,Tool/external,
12334944,Tool/fql,
12334946,Tool/nodetool,
12334947,Tool/sstable,
12332426,Tool/stress,
12338795,Transactional Cluster Metadata,
12339809,Virtual Tables,
