id,name,description
12328776, Server,
12337977,1.19,
12322689,Client - C++,
12322933,Client - CLI,
12322949,Client - HTTP,
12331095,Client - Java,
12322688,Client - JDBC,
12322702,Client - ODBC,Track ODBC related bugs
12322693,Documentation,
12322686,Execution - Codegen,
12322932,Execution - Data Types,
12322690,Execution - Flow,
12328698,Execution - Monitoring,
12322705,Execution - Relational Operators,
12322694,Execution - RPC,
12339116,Format - DeltaLake,
12338560,Format - ESRI,
12338545,Format - Log Reader,
12338659,Format - MS Access,
12338611,Format - PCAP,
12338555,Format - PDF,
12338543,Format - SAS,
12338627,Format - XML,
12322695,Functions - Drill,
12322687,Functions - Hive,
12337889,library,
12322691,Metadata,
12322681,Query Planning & Optimization,
12333703,Security,
12337924,splunk,
12322680,SQL Parser,
12328941,Storage - Avro,
12338661,Storage - Cassandra,
12338544,Storage - Druid,
12327608,Storage - ElasticSearch,
12338304,Storage - Excel,
12338626,Storage - File,
12338527,Storage - GoogleSheets,
12322682,Storage - HBase,
12337823,Storage - HDF5,HDF5 Reader
12322685,Storage - Hive,
12338528,Storage - HTTP,
12338011,Storage - Iceberg,
12322936,Storage - Information Schema,
12328940,Storage - JDBC,
12322931,Storage - JSON,
12334615,Storage - Kafka,
12330918,Storage - MapRDB,Issues related to MapR-DB Format Plugin
12324376,Storage - MongoDB,
12325117,Storage - Other,
12322683,Storage - Parquet,
12337670,Storage - PCAP,
12338101,Storage - Phoenix,
12338646,Storage - Splunk,
12338542,Storage - SPSS,
12338541,Storage - Syslog,
12322684,Storage - Text & CSV,
12322703,Storage - Writer,
12338303,Storage - XML,
12322692,"Tools, Build & Test",
12328775,Web Server,
