id,name,description
12338514,1.3,
12338791,Balancer,
12335013,build,
12333900,Certificates,SCM Certificate Authority and Datanode X.509 certificate issues
12336132,chaos,
12337242,CI,
12338711,common,
12338790,db,
12337842,dist,
12338537,DN,
12334817,docker,
12339109,docker-compose,
12334617,documentation,
12337964,EC,
12338146,EC Client,
12338302,ECOfflineRecovery,
12336011,freon,
12337843,Go Client,
12339409,Helm,
12338719,HttpFS GateWay,
12335609,kubernetes,
12339506,metrics,
12333902,Native,Native code components
12337268,OFS,
12337619,OM,
12337244,OM HA,
12334605,Ozone CLI,
12333904,Ozone Client,Ozone Client Library
12339128,Ozone Dashboards,
12333903,Ozone Datanode,Datanode Code - Plugin and Rest Server
12333905,Ozone Filesystem,Hadoop compatible file system - OzoneFS
12333906,Ozone Manager,Ozone Metadata server
12335108,Ozone Recon,Ozone Recon Server (previously fsck server)
12334701,S3,
12339032,s3gateway,
12337895,Scale Test,
12333908,SCM,HDDS block Manager
12333909,SCM Client,HDDS client
12337225,SCM HA,
12333910,Security,"Kerberos, X.509, ACLs, SASL and Any other Security issues"
12340002,server-framework,
12338628,Snapshot,
12334212,test,
12333912,Tools,"ozone CLI, SCM CLI, Genesis, Freon etc."
12335304,tracing,
12335213,upgrade,
12334613,website,
