id,name,description
12317907,auto-failover,Automatic failover
12313153,balancer & mover,
12313471,benchmarks,
12332920,block placement,
12312925,build,
12321607,caching,HDFS in-memory caching
12339159,command,
12339143,common,
12339161,compress,
12337112,configuration,
12312915,contrib/hdfsproxy,
12313080,contrib/raid,A layer on HDFS that implements erasure coding
12312927,datanode,
12337335,dfs,
12337116,dfsadmin,
12336147,dfsclient,
12330206,diskbalancer,
12324603,distcp,
12312918,documentation,
12334910,ec,
12323800,encryption,
12327961,erasure-coding,
12312917,examples,
12318801,federation,Multiple Namenode Federation
12327021,fs,
12334009,fs async,
12331105,fs/adl,
12331106,fs/azure,
12332534,fs/ozone,
12333536,fs/s3,
12312913,fuse-dfs,The fuse dfs module for HDFS
12316609,ha,High Availability
12337111,hadoop-client,
12329603,hdfs,
12332549,HDFS-7240,
12312928,hdfs-client,
12329816,httpfs,
12339160,io,
12330102,ipc,
12319803,journal-node,Journal Node for the QJM
12330968,kms,
12313126,libhdfs,The C++ interface to HDFS.
12337115,libhdfs++,
12327638,logging,
12333005,metrics,
12312926,namenode,
12324906,native,
12339147,net,
12330301,newbie,
12337118,nflyFs,
12320727,nfs,
12333577,nn,
12327400,ozone,Ozone Key-Value store in HDFS
12316501,performance,Tag for performance related improvements/optimizations
12320525,qjm,Quorum Journal Manager
12339148,qouta,
12335110,rbf,
12339123,rdf,
12324715,rolling upgrades,
12339124,router,
12330947,s,
12332559,scm,
12312931,scripts,
12313400,security,
12339155,server,
12329646,shell,
12320700,snapshots,HDFS snapshots
12339166,sps,
12321608,symlinks,
12312916,test,
12339170,tets,
12312944,tools,
12327959,tracing,
12329815,ui,
12337110,viewfs,
12337117,viewfsOverloadScheme,
12337352,ViewHDFS,
12319200,webhdfs,WebHDFS: HTTP REST API for HDFS
12333804,windows,
