id,name,description
12338715,.NET,
12339739,affinity function ai3,
12328226,aws,
12329301,binary,Binary protocol
12324403,build,Build system
12339724,builds/deliveries ai3,
12324443,cache,
12330846,cassandra,
12339736,catalog ai3,
12338505,cli,Command Line Interface
12339760,cli ai3,
12327019,clients,
12339725,cmg ai3,
12339761,code deployment ai3,
12324444,compute,
12339762,compute ai3,
12339406,configuration,
12339726,configuration ai3,
12337310,control.sh,control.sh or control.bat utility for cluster management
12339721,data streamer ai3,
12325316,data structures,
12339740,distribution zones ai3,
12324749,documentation,
12339719,documentation ai3,
12332531,examples,
12339718,examples ai3,
12337666,extensions,
12339741,failure handler ai3,
12324404,general,Miscellaneous issues
12339763,gradle build system ai3,
12335906,h2-limitation,
12339742,ha zones ai3,
12324750,hadoop,Hadoop Accelerator
12330851,hibernate,
12339743,hlc ai3,
12328306,igfs,Hadoop compliant in-memory file system
12336159,integrations,
12332919,jdbc,
12339737,jdbc ai3,
12339744,lock management ai3,
12339727,low watermark ai3,
12328417,managed services,
12328402,messaging,
12339728,metastorage ai3,
12339774,metrics ai3,
12339745,metrics framework ai3,
12339720,migration ai2 to ai3,
12339606,migration tools,
12332500,ml,
12339729,modules and packaging ai3,
12334518,mvcc,
12339730,network ai3,
12337205,networking,
12328357,odbc,ODBC driver
12328323,osgi,
12339764,packaging ai3,
12332578,persistence,
12339746,placement driver ai3,
12327022,platforms,Integration with other platforms
12339722,platforms ai3,
12336746,python,
12339747,rack awareness ai3,
12339748,raft ai3,
12339731,raft snapshots ai3,
12339749,rebalance ai3,
12339750,rendezvous affinity ai3,
12339751,replicated zones ai3,
12339752,replication ai3,
12333015,rest,
12339765,rest ai3,
12339753,ro transactions ai3,
12339732,rocksdb ai3,
12339754,rw transactions ai3,
12333557,s3,
12339733,secondary indexes ai3,
12333802,security,
12333558,site,
12338601,snaphots,
12328772,spark,Integration with Spark
12330804,spring,
12337214,springdata,
12326652,sql,SQL support and related stuff
12339738,sql ai3,
12339734,storage engines ai3,
12324445,streaming,
12339735,system disaster recovery ai3,
12339755,tables ai3,
12336302,tensorflow,
12333214,thin client,
12339723,thin clients ai3,
12339756,transactions ai3,
12339757,transactions recovery ai3,
12339758,txstate vacuumization ai3,
12324405,UI,User interface
12339759,vault ai3,
12328939,visor,
12329001,websession,
12337630,website,
12326915,wizards,
12329905,yardstick,Yardstick benchmarks
12331405,yarn,
12328301,zookeeper,
