project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.9563732078853048,0.8918010752688172,0.8938172043010753,0.8902275769745649,0.892018779342723
derby,0.9220236325802617,0.8480603448275862,0.978448275862069,0.7760683760683761,0.8655862726406102
drill,0.9734373052751518,0.919831223628692,0.9029535864978904,0.9344978165938864,0.9184549356223176
flink,0.9406868119819306,0.9145695364238412,0.9629139072847682,0.8780193236714976,0.9185091598231206
hadoop,0.9617470176476388,0.8964803312629399,0.8778467908902692,0.9118279569892472,0.8945147679324894
harmony,0.996654462820351,0.9747191011235956,0.99438202247191,0.9567567567567568,0.975206611570248
hbase,0.9530771241830064,0.9003921568627451,0.9333333333333332,0.8756438557763061,0.9035687167805618
hdds,0.96865,0.91875,0.955,0.8904428904428905,0.9215922798552474
hdfs,0.9296598475285264,0.888681592039801,0.9813432835820896,0.8279118572927597,0.8981217985202049
hive,0.9228367498585444,0.8424717145343777,0.856396866840731,0.8331922099915327,0.8446351931330471
ignite,0.9764137269260876,0.9296482412060302,0.9467336683417086,0.9154518950437318,0.9308300395256918
impala,0.9744785027388274,0.9214780600461894,0.9561200923787528,0.8941684665226782,0.9241071428571428
kafka,0.970131492129324,0.9259708737864076,0.9635922330097088,0.8961625282167043,0.9286549707602338
mapreduce,0.9415459895523376,0.9272300469483568,0.9953051643192488,0.8760330578512396,0.931868131868132
mesos,0.959213670165642,0.8886010362694301,0.8782383419689119,0.8968253968253969,0.8874345549738221
mng,0.9382709278282664,0.8793911007025761,0.9344262295081968,0.8417721518987342,0.8856825749167593
nifi,0.9867585322864926,0.9569620253164556,0.9544303797468354,0.9592875318066156,0.9568527918781726
oak,0.8829634898323615,0.8443072702331962,0.9602194787379972,0.779510022271715,0.860479409956976
pdfbox,0.9729121012904796,0.9346846846846848,0.9594594594594594,0.9141630901287554,0.9362637362637364
sling,0.9638536989905344,0.93048128342246,0.96524064171123,0.9025,0.9328165374677002
solr,0.919376772104808,0.8878923766816144,0.9338565022421524,0.8552361396303901,0.8928188638799571
spark,0.9169275644141954,0.8850267379679144,0.958288770053476,0.835820895522388,0.892874937717987
yarn,0.9474938383381118,0.8856382978723404,0.9202127659574468,0.8606965174129353,0.8894601542416453
