project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.492331047911355,0.501658374792703,1.0,0.500830564784053,0.667404537908135
derby,0.62274728745541,0.514008620689655,0.987068965517241,0.507198228128461,0.670080468178493
drill,0.552315334081077,0.529535864978903,0.987341772151899,0.515418502202643,0.677279305354558
flink,0.855213367834744,0.770198675496689,0.806622516556291,0.751851851851852,0.778274760383387
hadoop,0.814818744132814,0.718426501035197,0.831262939958592,0.678209459459459,0.746976744186046
harmony,0.74886377982578,0.648876404494382,0.870786516853933,0.603112840466926,0.71264367816092
hbase,0.816160553633218,0.720392156862745,0.834509803921569,0.679438058748404,0.749032030975009
hdds,0.65678125,0.5525,0.925,0.530085959885387,0.673952641165756
hdfs,0.65322253780847,0.500621890547264,1.0,0.50031113876789,0.666943177104936
hive,0.800750794765342,0.698433420365535,0.824194952132289,0.65855354659249,0.732122149207576
ignite,0.823654958208126,0.746733668341709,0.802010050251256,0.722171945701357,0.76
impala,0.639050824315026,0.546189376443418,0.967667436489607,0.525062656641604,0.680747359870024
kafka,0.628045763031388,0.520631067961165,0.970873786407767,0.510855683269476,0.669456066945607
mapreduce,0.621724084727457,0.582159624413146,0.934272300469484,0.548209366391185,0.690972222222222
mesos,0.61401652892562,0.554545454545455,0.927272727272727,0.53125,0.675496688741722
mng,0.576150804315276,0.526932084309134,0.967213114754098,0.514321295143213,0.671544715447154
nifi,0.62738022752764,0.536708860759494,0.946835443037975,0.520166898470097,0.671454219030521
oak,0.835737174963919,0.737997256515775,0.8559670781893,0.692563817980022,0.765644171779141
pdfbox,0.589704569434299,0.536036036036036,0.945945945945946,0.51980198019802,0.670926517571885
sling,0.607463038691412,0.540106951871658,0.941176470588235,0.522255192878338,0.67175572519084
solr,0.767157996340164,0.673206278026906,0.831838565022421,0.631489361702128,0.717948717948718
spark,0.847676513483371,0.765775401069519,0.838502673796791,0.73202614379085,0.781655034895314
yarn,0.615562597454856,0.506205673758865,0.99822695035461,0.503127792672029,0.669043374925728
