project,AUC,Accuracy,Precision,Recall,F1-Score
cassandra,0.8957494621243121,0.8201634877384196,0.8330206378986866,0.8028933092224232,0.8176795580110496
derby,0.9364641580828252,0.881159420289855,0.886685552407932,0.8816901408450705,0.884180790960452
drill,0.8953542315594142,0.830945558739255,0.8113207547169812,0.8164556962025317,0.8138801261829655
flink,0.9218538339842784,0.8482490272373541,0.86558516801854,0.8263274336283186,0.8455008488964347
hadoop,0.920316649364485,0.8494773519163763,0.8461538461538461,0.8644986449864499,0.8552278820375336
harmony,0.9505185185185184,0.9,0.9230769230769232,0.864,0.8925619834710743
hbase,0.9295145447223848,0.8533114395183361,0.8776722090261283,0.8174778761061947,0.8465063001145476
hdds,0.937630721755529,0.8682432432432432,0.8461538461538461,0.887719298245614,0.8664383561643836
hdfs,0.9002491205876804,0.8251457119067444,0.8361204013377926,0.8169934640522876,0.8264462809917354
hive,0.9204124019298404,0.8397626112759644,0.8452088452088452,0.8269230769230769,0.835965978128797
ignite,0.9528148409945492,0.8805668016194332,0.8925170068027211,0.870026525198939,0.8811282740094023
impala,0.9095073624736364,0.833592534992224,0.8242424242424242,0.8473520249221184,0.835637480798771
kafka,0.9381690840024174,0.8817733990147784,0.889273356401384,0.8653198653198653,0.8771331058020478
mapreduce,0.8832571749238417,0.819620253164557,0.825503355704698,0.7987012987012987,0.8118811881188118
mesos,0.94156857010553,0.8795811518324608,0.8710801393728222,0.8865248226950354,0.8787346221441125
mng,0.9182030977638328,0.8427672955974843,0.8530259365994236,0.8579710144927536,0.8554913294797687
nifi,0.9576087967267992,0.9045996592844976,0.8900343642611683,0.9151943462897526,0.902439024390244
oak,0.9168825211807242,0.8587155963302753,0.9058823529411764,0.8133802816901409,0.8571428571428572
pdfbox,0.8968109593109593,0.8545454545454545,0.8623188405797102,0.8040540540540541,0.8321678321678322
sling,0.9646541124700706,0.913978494623656,0.8996138996138996,0.9137254901960784,0.9066147859922178
solr,0.9215814160346992,0.8485995457986374,0.8468606431852986,0.8468606431852986,0.8468606431852985
spark,0.9611006791562348,0.9037319762510602,0.9138673557278209,0.8930976430976431,0.9033631332481908
yarn,0.9149687057426104,0.8291517323775388,0.8593350383631714,0.7924528301886793,0.8245398773006136
