project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.9033769791176786,0.8109452736318408,0.8407960199004975,0.7934272300469484,0.8164251207729469
derby,0.9037929176575508,0.8362068965517241,0.9353448275862069,0.7805755395683454,0.8509803921568627
drill,0.9405365949189056,0.8523206751054853,0.9071729957805909,0.8174904942965779,0.86
flink,0.9279470198675496,0.8774834437086093,0.9086092715231788,0.8553615960099751,0.8811817597944767
hadoop,0.8738469237726597,0.8234989648033126,0.922360248447205,0.77009507346586,0.839378238341969
harmony,0.954866809746244,0.848314606741573,0.9662921348314608,0.7818181818181819,0.8643216080402011
hbase,0.9263600153787004,0.8352941176470589,0.9184313725490196,0.7874915938130465,0.8479362780593772
hdds,0.9211375,0.8475,0.7725,0.9088235294117648,0.8351351351351352
hdfs,0.916163894458058,0.8351990049751243,0.8519900497512438,0.8243080625752106,0.8379204892966361
hive,0.9344683120221844,0.856396866840731,0.8407310704960835,0.8679245283018868,0.8541114058355438
ignite,0.9563152445645312,0.9030150753768844,0.8954773869346734,0.9091836734693878,0.9022784810126584
impala,0.944818095994965,0.8787528868360277,0.8175519630484989,0.9315789473684212,0.870848708487085
kafka,0.935585352059572,0.837378640776699,0.7378640776699029,0.9212121212121211,0.8194070080862533
mapreduce,0.855187462804999,0.8169014084507042,0.9154929577464788,0.7647058823529411,0.8333333333333333
mesos,0.8847471074380165,0.8163636363636364,0.8036363636363636,0.8246268656716418,0.8139963167587476
mng,0.8324292899099979,0.7740046838407494,0.8665105386416861,0.7312252964426877,0.7931404072883173
nifi,0.9261336324307002,0.8835443037974684,0.9240506329113924,0.8548009367681498,0.8880778588807787
oak,0.8859835804915315,0.8065843621399177,0.8285322359396433,0.7936925098554534,0.810738255033557
pdfbox,0.9641262884506128,0.9031531531531533,0.954954954954955,0.8653061224489796,0.9079229122055674
sling,0.9438002230547056,0.8917112299465241,0.946524064171123,0.8530120481927711,0.8973384030418252
solr,0.8295436264553882,0.6653587443946188,0.9473094170403588,0.6057347670250897,0.7389593353738523
spark,0.8542560553633218,0.7609625668449198,0.8449197860962567,0.7234432234432234,0.7794770596941293
yarn,0.8489606911121171,0.8076241134751773,0.9680851063829788,0.7328859060402685,0.8342245989304813
