project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.9109537992733954,0.8706467661691543,0.9535655058043118,0.817923186344239,0.880551301684533
derby,0.8618553061831152,0.7823275862068966,0.9288793103448276,0.7183333333333334,0.8101503759398496
drill,0.927896170485499,0.8586497890295358,0.8607594936708861,0.8571428571428571,0.8589473684210527
flink,0.9412604710319722,0.9006622516556292,0.9205298013245032,0.8853503184713376,0.9025974025974028
hadoop,0.9427941308848682,0.8680124223602484,0.8913043478260869,0.8516320474777448,0.8710166919575114
harmony,0.9416740310566848,0.8792134831460674,0.898876404494382,0.8648648648648649,0.8815426997245179
hbase,0.938253287197232,0.8698039215686274,0.8909803921568628,0.8547780285929271,0.8725038402457758
hdds,0.90631875,0.84125,0.8825,0.815242494226328,0.8475390156062426
hdfs,0.8970059528229499,0.8451492537313433,0.9228855721393034,0.798708288482239,0.8563185227928447
hive,0.8641047840442478,0.7763272410791993,0.7850304612706701,0.7715996578272027,0.7782571182053494
ignite,0.9663675159718188,0.9020100502512562,0.9115577889447236,0.8944773175542406,0.9029367844698856
impala,0.9781427177061056,0.9168591224018476,0.9861431870669746,0.8661257606490872,0.9222462203023758
kafka,0.9524519276086342,0.8932038834951457,0.8810679611650486,0.9029850746268656,0.8918918918918919
mapreduce,0.9466596133924046,0.8943661971830986,0.9812206572769951,0.836,0.9028077753779696
mesos,0.8853289256198348,0.8,0.8327272727272728,0.7815699658703071,0.806338028169014
mng,0.9088954582101584,0.8536299765807962,0.9250585480093676,0.8094262295081968,0.8633879781420765
nifi,0.9470020829995192,0.8822784810126583,0.8759493670886076,0.8871794871794871,0.8815286624203821
oak,0.8522846374291784,0.7695473251028807,0.9368998628257889,0.7019527235354573,0.8025851938895416
pdfbox,0.9635175716256796,0.8963963963963963,0.981981981981982,0.8384615384615385,0.9045643153526972
sling,0.9283865709628528,0.8649732620320856,0.9037433155080212,0.8387096774193549,0.87001287001287
solr,0.8939338715839852,0.8150224215246636,0.8497757847533632,0.7945492662473794,0.8212351029252438
spark,0.862190511595985,0.7679144385026738,0.8684491978609625,0.7230632235084595,0.7891156462585034
yarn,0.8377565263316734,0.7588652482269503,0.8936170212765957,0.7039106145251397,0.7875
