project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.9230299580043396,0.9046434494195688,0.9701492537313432,0.8577712609970675,0.9105058365758756
derby,0.9089811236623068,0.8265086206896551,0.9719827586206896,0.7529215358931552,0.8485418626528692
drill,0.9500436183660028,0.8966244725738397,0.9113924050632912,0.8852459016393442,0.898128898128898
flink,0.9059672821367484,0.8337748344370861,0.8821192052980132,0.8043478260869565,0.841440303221731
hadoop,0.9397153316272948,0.8700828157349897,0.9192546583850932,0.8369462770970783,0.8761716822890971
harmony,0.9106173462946596,0.8033707865168539,0.848314606741573,0.7783505154639175,0.8118279569892473
hbase,0.9501053440984236,0.8831372549019608,0.8988235294117647,0.8714828897338402,0.8849420849420849
hdds,0.91346875,0.845,0.8975,0.8122171945701357,0.8527315914489311
hdfs,0.9044794683299918,0.8432835820895522,0.9589552238805972,0.7787878787878788,0.8595317725752508
hive,0.925034899988714,0.8655352480417755,0.9120974760661444,0.8343949044585988,0.8715176715176715
ignite,0.9546849827024568,0.8753768844221106,0.9216080402010052,0.84360625574977,0.8808837656099904
impala,0.9713423187493666,0.915704387990762,0.9676674364896074,0.8765690376569037,0.9198682766191
kafka,0.9548791120746536,0.8980582524271845,0.9757281553398058,0.8445378151260504,0.9054054054054056
mapreduce,0.9400912517357668,0.8990610328638498,0.9671361502347418,0.8512396694214877,0.9054945054945056
mesos,0.911788429752066,0.8327272727272728,0.7054545454545454,0.946341463414634,0.8083333333333332
mng,0.8870996934113607,0.8407494145199064,0.8899297423887588,0.8102345415778252,0.8482142857142856
nifi,0.9332222400256368,0.8784810126582279,0.9113924050632912,0.8551068883610451,0.8823529411764706
oak,0.8321892740680527,0.7914951989026063,0.9039780521262004,0.7379619260918253,0.812577065351418
pdfbox,0.9419892865838811,0.9009009009009008,0.9369369369369368,0.8739495798319328,0.9043478260869564
sling,0.8978380851611428,0.8368983957219251,0.9144385026737968,0.7916666666666666,0.8486352357320099
solr,0.9179842244967724,0.8649103139013453,0.9753363228699552,0.7988980716253443,0.878344270570419
spark,0.8764986130572792,0.7935828877005348,0.881283422459893,0.7497725204731575,0.8102261553588987
yarn,0.8867480257532318,0.8404255319148937,0.9432624113475178,0.7823529411764706,0.8553054662379421
