project,AUC,Accuracy,Recall,Precision,AF1
cassandra,0.9256615649208,0.8467741935483871,0.995967741935484,0.7670807453416149,0.8666666666666666
derby,0.8963055514268728,0.8200431034482759,0.9353448275862069,0.7600700525394045,0.838647342995169
drill,0.8942299132973704,0.8270042194092827,0.8607594936708861,0.8063241106719368,0.8326530612244899
hadoop,0.9432168897804868,0.8964803312629399,0.9554865424430642,0.8546296296296296,0.9022482893450636
hbase,0.9215163398692812,0.8392156862745098,0.9749019607843136,0.7668106107341147,0.8584254143646409
hdfs,0.9103967104774634,0.8345771144278606,0.9676616915422884,0.7642436149312377,0.854006586169045
hive,0.9206787451304764,0.8516100957354221,0.9634464751958224,0.7873399715504978,0.8665362035225049
ignite,0.9424378172268376,0.8844221105527639,0.943718592964824,0.8436657681940701,0.8908918406072106
impala,0.9190509809750296,0.8599137931034483,0.9698275862068966,0.7950530035335689,0.8737864077669903
kafka,0.9189514798755772,0.8543689320388349,0.8859223300970874,0.8333333333333334,0.8588235294117648
mapreduce,0.909960545747096,0.8568075117370892,1.0,0.7773722627737226,0.8747433264887065
mesos,0.9074001986630512,0.8380829015544041,0.9430051813471504,0.7794432548179872,0.8534583821805394
oak,0.9566010149762628,0.911522633744856,0.9643347050754458,0.8722084367245657,0.9159609120521172
pdfbox,0.9317831344858372,0.8536036036036037,0.9774774774774776,0.7833935018050542,0.8697394789579159
solr,0.942737763679141,0.8783632286995515,0.967488789237668,0.8211227402473834,0.8883170355120947
yarn,0.8934504049092098,0.8226950354609929,1.0,0.7382198952879581,0.8493975903614458
flink,0.865883296930057,0.7926720285969616,0.9660574412532638,0.7231270358306189,0.827123695976155
spark,0.9626280419800394,0.9203208556149732,0.9775401069518715,0.8771593090211133,0.9246332827516438
harmony,0.9164562555232924,0.8651685393258427,0.9662921348314608,0.8037383177570093,0.8775510204081634
hdds,0.91864375,0.855,0.94,0.8034188034188035,0.8663594470046083
mng,0.8836114935089865,0.8313817330210773,0.9625292740046838,0.7625231910946196,0.8509316770186336
nifi,0.9261720878064412,0.8822784810126583,0.9291139240506328,0.8495370370370371,0.8875453446191052
sling,0.9243472790185592,0.8703208556149733,0.9759358288770054,0.8057395143487859,0.8827085852478839
