project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.8311991727377486,0.753731343283582,0.9071310116086236,0.6941624365482234,0.7864845434938894
derby,0.7252201620095126,0.5140086206896551,0.9870689655172412,0.5071982281284607,0.6700804681784931
drill,0.8697146112624401,0.7742616033755274,0.7763713080168776,0.773109243697479,0.7747368421052632
flink,0.5215648436472085,0.4986754966887417,0.9960264900662252,0.49933598937583,0.6651923927465724
hadoop,0.776759727205312,0.6842650103519669,0.8726708074534162,0.6338345864661654,0.7343205574912892
harmony,0.5186056053528595,0.5056179775280899,1.0,0.5028248587570622,0.6691729323308271
hbase,0.8361387158785083,0.7603921568627451,0.8415686274509804,0.7240215924426451,0.7783822996010156
hdds,0.6750312499999999,0.6075,0.795,0.5781818181818181,0.6694736842105263
hdfs,0.7267595480309893,0.6747512437810945,0.8420398009950248,0.6309412861136999,0.7213638785295684
hive,0.643327038837268,0.5783289817232375,0.8398607484769365,0.5514285714285714,0.6657468092445671
ignite,0.6373581475215272,0.536180904522613,0.955778894472362,0.519672131147541,0.6732743362831859
impala,0.8528180319912102,0.7586605080831409,0.8683602771362586,0.7121212121212122,0.7825182101977107
kafka,0.883100433594118,0.7961165048543689,0.8567961165048543,0.7640692640692641,0.8077803203661328
mapreduce,0.8436597676827791,0.7535211267605634,0.9389671361502347,0.684931506849315,0.7920792079207921
mesos,0.6532363636363636,0.6127272727272727,0.8654545454545455,0.5748792270531401,0.6908563134978228
mng,0.4676957587657476,0.4941451990632318,0.9859484777517564,0.4970484061393152,0.6609105180533752
nifi,0.6708348021150456,0.5860759493670886,0.9063291139240506,0.5524691358024691,0.6864813039309684
oak,0.7016884282545006,0.6392318244170097,0.8010973936899863,0.6051813471502591,0.6894923258559622
pdfbox,0.8394002110218328,0.7680180180180181,0.8603603603603603,0.7262357414448669,0.7876288659793814
sling,0.8821313163087304,0.7994652406417112,0.820855614973262,0.7871794871794872,0.8036649214659687
solr,0.8452349232842004,0.7365470852017937,0.8890134529147982,0.6812714776632303,0.7714007782101168
spark,0.6944127655923819,0.6085561497326203,0.8470588235294118,0.5734974656046343,0.6839378238341969
yarn,0.7043156782858006,0.5771276595744681,0.9290780141843972,0.5452653485952134,0.6872131147540984
