project,AUC,Accuracy,Recall,Precision,F1-Score
cassandra,0.6177222804635225,0.6246684350132626,0.9350132625994696,0.5769230769230769,0.7135627530364372
derby,0.937219208853824,0.8846153846153846,0.9188034188034188,0.86,0.8884297520661157
drill,0.8906181614467533,0.8242677824267782,0.9288702928870292,0.7681660899653979,0.8409090909090908
flink,0.8912107571406901,0.8507340946166395,0.7765089722675367,0.9118773946360154,0.8387665198237886
hadoop,0.8835032585326524,0.8058401639344263,0.8852459016393442,0.7639257294429708,0.8201233981964878
harmony,0.8828430753692715,0.8370786516853933,0.904494382022472,0.7970297029702971,0.8473684210526318
hbase,0.9345745849609376,0.8765625,0.88828125,0.8679389312977099,0.877992277992278
hdds,0.9313641213229692,0.8716049382716049,0.8740740740740741,0.8697788697788698,0.8719211822660099
hdfs,0.911854813268946,0.8509852216748769,0.8928571428571429,0.8238636363636364,0.8569739952718677
hive,0.8883521363640747,0.82213608957795,0.896640826873385,0.780359820089955,0.8344689378757515
ignite,0.9162906650394138,0.8368368368368369,0.8908908908908909,0.8039747064137308,0.8452041785375118
impala,0.9186295833526156,0.8503401360544217,0.9229024943310656,0.805940594059406,0.8604651162790697
kafka,0.8823099793546458,0.8285371702637889,0.8800959232613909,0.7978260869565217,0.8369441277080958
mapreduce,0.8870316184819635,0.8200934579439252,0.9018691588785048,0.7751004016064257,0.8336933045356371
mesos,0.8674380466472302,0.8252551020408163,0.7882653061224489,0.8512396694214877,0.8185430463576159
mng,0.9516060354616124,0.9018691588785048,0.9228971962616822,0.8856502242152466,0.9038901601830664
nifi,0.9368015390647976,0.875,0.8960396039603961,0.8598574821852731,0.8775757575757575
oak,0.9024773059810683,0.8326502732240437,0.8620218579234973,0.8141935483870968,0.8374253483742535
pdfbox,0.91043455528967,0.8721973094170403,0.820627802690583,0.915,0.8652482269503547
sling,0.917659309500524,0.8554376657824934,0.9124668435013262,0.819047619047619,0.8632371392722711
solr,0.7262882188386488,0.6646341463414634,0.9057649667405764,0.6110695587135377,0.7297900848593122
spark,0.8981598376561134,0.8586142322097379,0.8052434456928839,0.90146750524109,0.8506429277942631
yarn,0.9002151694459386,0.826048951048951,0.8723776223776224,0.7984,0.83375104427736
