project,AUC,Accuracy,Recall,Precision,AF1
cassandra,0.7491398727754264,0.6708126036484245,0.8938640132669984,0.6181192660550459,0.7308474576271187
derby,0.7452019545184305,0.6303879310344828,0.896551724137931,0.5850914205344585,0.7080851063829786
drill,0.7670334170093824,0.6624472573839663,0.9324894514767932,0.6054794520547945,0.73421926910299
flink,0.7377571159159686,0.6682119205298013,0.823841059602649,0.6282828282828283,0.7128939828080229
hadoop,0.7815601035625341,0.7116977225672878,0.8716356107660456,0.6603921568627451,0.7514502454261491
harmony,0.7703572781214492,0.6797752808988764,0.8539325842696629,0.6333333333333333,0.7272727272727274
hbase,0.8158855824682815,0.7309803921568627,0.8705882352941177,0.680564071122011,0.7639366827253957
hdds,0.6649999999999999,0.60375,0.885,0.5664,0.6907317073170732
hdfs,0.7615096160986115,0.6902985074626866,0.8781094527363185,0.6383363471971067,0.7392670157068062
hive,0.7914071417912878,0.6723237597911227,0.959965187119234,0.6093922651933702,0.7455221358567083
ignite,0.819290926996793,0.7326633165829146,0.8703517587939699,0.6824271079590228,0.7650176678445229
impala,0.7757468438148372,0.6789838337182448,0.8683602771362586,0.6298157453936348,0.7300970873786408
kafka,0.7584362333867471,0.6347087378640777,0.9635922330097088,0.5812591508052709,0.7251141552511415
mapreduce,0.7040159580330181,0.6103286384976526,0.9061032863849764,0.5693215339233039,0.6992753623188407
mesos,0.5722776859504133,0.5,1.0,0.5,0.6666666666666666
mng,0.6801281797979455,0.6152263374485597,0.8683127572016461,0.5765027322404371,0.6929392446633826
nifi,0.7197532446723282,0.6227848101265823,0.9215189873417722,0.5768621236133122,0.709551656920078
oak,0.6801281797979455,0.6152263374485597,0.8683127572016461,0.5765027322404371,0.6929392446633826
pdfbox,0.6902442983524064,0.5,1.0,0.5,0.6666666666666666
sling,0.7959943092453315,0.7232620320855615,0.8422459893048129,0.6803455723542117,0.7526881720430109
solr,0.7876503147057048,0.7236547085201793,0.7892376681614349,0.6977205153617443,0.7406628090478694
spark,0.7256158311647458,0.6320855614973262,0.8802139037433155,0.588277340957827,0.7052270779777206
yarn,0.6992417383431416,0.6028368794326241,0.948581560283688,0.560796645702306,0.7048748353096179
