project,AUC,Accuracy,Recall,Precision,AF1
cassandra,0.9240627529194128,0.8655913978494624,0.9435483870967742,0.8162790697674419,0.8753117206982544
derby,0.8751555997324614,0.8146551724137931,0.9030172413793104,0.7673992673992674,0.8297029702970297
drill,0.9017251508839396,0.8544303797468354,0.9367088607594936,0.8043478260869565,0.8654970760233918
hadoop,0.9533449291313304,0.8949843260188087,0.9592476489028212,0.85,0.9013254786450664
hbase,0.933132795078816,0.8768627450980392,0.9584313725490196,0.8240053944706676,0.8861493836113126
hdfs,0.9211181344521177,0.8575870646766169,0.9340796019900498,0.8101402373247033,0.8677065280184865
hive,0.921962640537312,0.860313315926893,0.9399477806788512,0.8108108108108109,0.8706166868198308
ignite,0.9532920885836216,0.9005025125628141,0.941708542713568,0.8700092850510678,0.9044401544401544
impala,0.9095333592904116,0.848729792147806,0.9330254041570438,0.7984189723320159,0.8604898828541002
kafka,0.9217291921953058,0.8628640776699029,0.95873786407767,0.8044806517311609,0.8748615725359912
mapreduce,0.9007141440190438,0.8333333333333334,0.8873239436619719,0.8008474576271186,0.8418708240534521
mesos,0.9104271255604176,0.8536269430051814,0.9585492227979274,0.7922912205567452,0.8675263774912074
oak1,0.9589483263926862,0.9030261348005502,0.9463548830811556,0.8708860759493671,0.9070533948582729
pdfbox,0.9295714633552472,0.8738738738738738,0.9594594594594594,0.8192307692307692,0.8838174273858921
solr,0.948396559351686,0.8873318385650224,0.9596412556053812,0.8383937316356513,0.894929430214323
yarn,0.9161966827624364,0.850177304964539,0.9078014184397164,0.8139904610492846,0.8583403185247276
flink,0.8683360226203805,0.7998212689901698,0.9730200174064404,0.7283387622149837,0.8330849478390461
spark,0.948489805256084,0.9251336898395722,0.9668449197860962,0.8923988153998026,0.9281314168377824
harmony,0.906309178134074,0.8764044943820225,0.9213483146067416,0.845360824742268,0.8817204301075268
hdds,0.9285625000000002,0.87875,0.905,0.8598574821852731,0.8818514007308161
mng,0.8892770760548241,0.8395784543325527,0.9297423887587822,0.7876984126984127,0.8528464017185822
nifi,0.9379714789296588,0.8924050632911392,0.9443037974683544,0.8555045871559633,0.897713598074609
sling,0.9464489976836628,0.9010695187165776,0.9331550802139036,0.8768844221105527,0.9041450777202072
